fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,style
11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6,red
7.3,0.65,0,1.2,0.065,15,21,0.9946,3.39,0.47,10,7,red
7.5,0.5,0.36,6.1,0.071,17,102,0.9978,3.35,0.8,10.5,5,red
8.9,0.62,0.19,3.9,0.17,51,148,0.9986,3.17,0.93,9.2,5,red
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,6,red
8.5,0.49,0.11,2.3,0.084,9,67,0.9968,3.17,0.53,9.4,5,red
7.9,0.43,0.21,1.6,0.106,10,37,0.9966,3.17,0.91,9.5,5,red
6.9,0.685,0,2.5,0.105,22,37,0.9966,3.46,0.57,10.6,6,red
7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6,red
7.3,0.45,0.36,5.9,0.074,12,87,0.9978,3.33,0.83,10.5,5,red
8.1,0.66,0.22,2.2,0.069,9,23,0.9968,3.3,1.2,10.3,5,red
8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5,red
6.6,0.52,0.04,2.2,0.069,8,15,0.9956,3.4,0.63,9.4,6,red
7.7,0.62,0.04,3.8,0.084,25,45,0.9978,3.34,0.53,9.5,5,red
7.3,0.39,0.31,2.4,0.074,9,46,0.9962,3.41,0.54,9.4,6,red
7,0.735,0.05,2,0.081,13,54,0.9966,3.39,0.57,9.8,5,red
6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5,red
6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5,red
7.7,0.705,0.1,2.6,0.084,9,26,0.9976,3.39,0.49,9.7,5,red
6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6,red
7.8,0.59,0.33,2,0.074,24,120,0.9968,3.25,0.54,9.4,5,red
6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4,red
7,0.42,0.35,1.6,0.088,16,39,0.9961,3.34,0.55,9.2,5,red
7.8,0.57,0.31,1.8,0.069,26,120,0.99625,3.29,0.53,9.3,5,red
8,0.725,0.24,2.8,0.083,10,62,0.99685,3.35,0.56,10,6,red
7,0.49,0.49,5.6,0.06,26,121,0.9974,3.34,0.76,10.5,5,red
7.8,0.53,0.33,2.4,0.08,24,144,0.99655,3.3,0.6,9.5,5,red
8.6,0.645,0.25,2,0.083,8,28,0.99815,3.28,0.6,10,6,red
9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5,red
8,0.38,0.06,1.8,0.078,12,49,0.99625,3.37,0.52,9.9,6,red
7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6,red
8.2,1,0.09,2.3,0.065,7,37,0.99685,3.32,0.55,9,6,red
15,0.21,0.44,2.2,0.075,10,24,1.00005,3.07,0.84,9.2,7,red
8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5,red
7.1,0.6,0,1.8,0.074,16,34,0.9972,3.47,0.7,9.9,6,red
8,0.57,0.23,3.2,0.073,17,119,0.99675,3.26,0.57,9.3,5,red
10,0.31,0.47,2.6,0.085,14,33,0.99965,3.36,0.8,10.5,7,red
7.9,0.37,0.23,1.8,0.077,23,49,0.9963,3.28,0.67,9.3,5,red
7.9,0.35,0.46,3.6,0.078,15,37,0.9973,3.35,0.86,12.8,8,red
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6,red
7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6,red
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,red
8.9,0.4,0.32,5.6,0.087,10,47,0.9991,3.38,0.77,10.5,7,red
7.5,0.4,0.12,3,0.092,29,53,0.9967,3.37,0.7,10.3,6,red
11,0.2,0.48,2,0.343,6,18,0.9979,3.3,0.71,10.5,5,red
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,5,red
6.9,0.67,0.06,2.1,0.08,8,33,0.99845,3.68,0.71,9.6,5,red
